date,center_name,attendance_count
2022-11-07,West Penn Community Center,21
2022-11-05,Phillips Community Center,4
2022-11-05,West Penn Community Center,17
2022-11-04,Warrington Community Center,35
2022-11-04,Arlington Community Center,25
2022-11-04,Ammon Community Center,3
2022-11-04,Jefferson Community Center,20
2022-11-04,Brookline Community Center,21
2022-11-04,Magee Community Center,21
2022-11-04,Ormsby Community Center,25
2022-11-04,Phillips Community Center,50
2022-11-04,Paulson Community Center,17
2022-11-04,West Penn Community Center,57
2022-11-03,Warrington Community Center,66
2022-11-03,Ammon Community Center,2
2022-11-03,Arlington Community Center,26
2022-11-03,Brookline Community Center,42
2022-11-03,Ormsby Community Center,5
2022-11-03,Magee Community Center,25
2022-11-03,Paulson Community Center,18
2022-11-03,Phillips Community Center,47
2022-11-03,West Penn Community Center,127
2022-11-02,Warrington Community Center,43
2022-11-02,Arlington Community Center,22
2022-11-02,Ammon Community Center,8
2022-11-02,Brookline Community Center,29
2022-11-02,Magee Community Center,26
2022-11-02,Ormsby Community Center,9
2022-11-02,Phillips Community Center,22
2022-11-02,Paulson Community Center,17
2022-11-02,West Penn Community Center,57
2022-11-01,Warrington Community Center,57
2022-11-01,Ammon Community Center,16
2022-11-01,Arlington Community Center,11
2022-11-01,Brookline Community Center,28
2022-11-01,Ormsby Community Center,6
2022-11-01,Magee Community Center,23
2022-11-01,Paulson Community Center,12
2022-11-01,Phillips Community Center,72
2022-11-01,West Penn Community Center,134
2022-10-31,Warrington Community Center,54
2022-10-31,Arlington Community Center,11
2022-10-31,Ammon Community Center,11
2022-10-31,Brookline Community Center,21
2022-10-31,Jefferson Community Center,12
2022-10-31,Magee Community Center,36
2022-10-31,Ormsby Community Center,5
2022-10-31,Phillips Community Center,18
2022-10-31,Paulson Community Center,4
2022-10-31,West Penn Community Center,64
2022-10-29,Phillips Community Center,15
2022-10-29,West Penn Community Center,59
2022-10-28,Warrington Community Center,48
2022-10-28,Ammon Community Center,8
2022-10-28,Arlington Community Center,21
2022-10-28,Brookline Community Center,21
2022-10-28,Ormsby Community Center,14
2022-10-28,Magee Community Center,13
2022-10-28,Phillips Community Center,53
2022-10-28,Paulson Community Center,21
2022-10-28,West Penn Community Center,63
2022-10-27,Warrington Community Center,51
2022-10-27,Arlington Community Center,3
2022-10-27,Ammon Community Center,6
2022-10-27,Brookline Community Center,31
2022-10-27,Magee Community Center,11
2022-10-27,Ormsby Community Center,5
2022-10-27,Paulson Community Center,19
2022-10-27,Phillips Community Center,43
2022-10-27,West Penn Community Center,122
2022-10-26,Warrington Community Center,31
2022-10-26,Ammon Community Center,5
2022-10-26,Arlington Community Center,8
2022-10-26,Brookline Community Center,15
2022-10-26,Ormsby Community Center,4
2022-10-26,Magee Community Center,20
2022-10-26,Phillips Community Center,36
2022-10-26,Paulson Community Center,10
2022-10-26,West Penn Community Center,51
2022-10-25,Warrington Community Center,48
2022-10-25,Arlington Community Center,2
2022-10-25,Ammon Community Center,5
2022-10-25,Brookline Community Center,28
2022-10-25,Magee Community Center,31
2022-10-25,Ormsby Community Center,11
2022-10-25,Paulson Community Center,21
2022-10-25,Phillips Community Center,79
2022-10-25,West Penn Community Center,144
2022-10-24,Warrington Community Center,51
2022-10-24,Ammon Community Center,9
2022-10-24,Arlington Community Center,15
2022-10-24,Brookline Community Center,22
2022-10-24,Jefferson Community Center,1
2022-10-24,Ormsby Community Center,11
2022-10-24,Magee Community Center,25
2022-10-24,Phillips Community Center,30
2022-10-24,Paulson Community Center,18
2022-10-24,West Penn Community Center,68
2022-10-22,West Penn Community Center,11
2022-10-21,Warrington Community Center,39
2022-10-21,Ammon Community Center,5
2022-10-21,Brookline Community Center,16
2022-10-21,Magee Community Center,32
2022-10-21,Ormsby Community Center,19
2022-10-21,Paulson Community Center,18
2022-10-21,Phillips Community Center,20
2022-10-21,West Penn Community Center,27
2022-10-20,Warrington Community Center,15
2022-10-20,Ammon Community Center,4
2022-10-20,Arlington Community Center,12
2022-10-20,Brookline Community Center,40
2022-10-20,Ormsby Community Center,6
2022-10-20,Magee Community Center,16
2022-10-20,Phillips Community Center,74
2022-10-20,Paulson Community Center,35
2022-10-20,West Penn Community Center,119
2022-10-19,Warrington Community Center,48
2022-10-19,Arlington Community Center,13
2022-10-19,Ammon Community Center,5
2022-10-19,Brookline Community Center,13
2022-10-19,Magee Community Center,21
2022-10-19,Ormsby Community Center,14
2022-10-19,Paulson Community Center,6
2022-10-19,Phillips Community Center,28
2022-10-19,West Penn Community Center,50
2022-10-18,Warrington Community Center,55
2022-10-18,Ammon Community Center,47
2022-10-18,Arlington Community Center,7
2022-10-18,Brookline Community Center,28
2022-10-18,Ormsby Community Center,9
2022-10-18,Magee Community Center,17
2022-10-18,Phillips Community Center,64
2022-10-18,Paulson Community Center,11
2022-10-18,West Penn Community Center,124
2022-10-17,Warrington Community Center,56
2022-10-17,Arlington Community Center,10
2022-10-17,Ammon Community Center,7
2022-10-17,Brookline Community Center,23
2022-10-17,Magee Community Center,34
2022-10-17,Ormsby Community Center,7
2022-10-17,Paulson Community Center,25
2022-10-17,Phillips Community Center,52
2022-10-17,West Penn Community Center,31
2022-10-15,Brookline Community Center,1
2022-10-15,Phillips Community Center,7
2022-10-15,West Penn Community Center,15
2022-10-14,Warrington Community Center,40
2022-10-14,Ammon Community Center,7
2022-10-14,Arlington Community Center,9
2022-10-14,Brookline Community Center,16
2022-10-14,Ormsby Community Center,1
2022-10-14,Magee Community Center,9
2022-10-14,Phillips Community Center,34
2022-10-14,Paulson Community Center,31
2022-10-14,West Penn Community Center,55
2022-10-13,Warrington Community Center,26
2022-10-13,Arlington Community Center,8
2022-10-13,Ammon Community Center,7
2022-10-13,Brookline Community Center,32
2022-10-13,Magee Community Center,34
2022-10-13,Ormsby Community Center,6
2022-10-13,Paulson Community Center,17
2022-10-13,Phillips Community Center,48
2022-10-13,West Penn Community Center,45
2022-10-12,Warrington Community Center,48
2022-10-12,Ammon Community Center,42
2022-10-12,Arlington Community Center,6
2022-10-12,Brookline Community Center,16
2022-10-12,Ormsby Community Center,6
2022-10-12,Magee Community Center,32
2022-10-12,Phillips Community Center,33
2022-10-12,Paulson Community Center,10
2022-10-12,West Penn Community Center,45
2022-10-11,Arlington Community Center,5
2022-10-11,Ammon Community Center,7
2022-10-11,Brookline Community Center,28
2022-10-11,Jefferson Community Center,13
2022-10-11,Magee Community Center,20
2022-10-11,Ormsby Community Center,12
2022-10-11,Paulson Community Center,16
2022-10-11,Phillips Community Center,60
2022-10-11,West Penn Community Center,80
2022-10-10,Warrington Community Center,53
2022-10-10,Ammon Community Center,12
2022-10-10,Arlington Community Center,22
2022-10-10,Brookline Community Center,14
2022-10-10,Ormsby Community Center,15
2022-10-10,Magee Community Center,30
2022-10-10,Phillips Community Center,27
2022-10-10,Paulson Community Center,10
2022-10-10,West Penn Community Center,44
2022-10-08,Phillips Community Center,10
2022-10-08,West Penn Community Center,17
2022-10-07,Warrington Community Center,42
2022-10-07,Arlington Community Center,14
2022-10-07,Ammon Community Center,3
2022-10-07,Brookline Community Center,14
2022-10-07,Magee Community Center,28
2022-10-07,Ormsby Community Center,13
2022-10-07,Phillips Community Center,40
2022-10-07,Paulson Community Center,17
2022-10-07,West Penn Community Center,43
2022-10-06,Warrington Community Center,54
2022-10-06,Ammon Community Center,5
2022-10-06,Arlington Community Center,4
2022-10-06,Brookline Community Center,37
2022-10-06,Jefferson Community Center,15
2022-10-06,Ormsby Community Center,6
2022-10-06,Magee Community Center,41
2022-10-06,Paulson Community Center,13
2022-10-06,Phillips Community Center,18
2022-10-06,West Penn Community Center,57
2022-10-05,Warrington Community Center,33
2022-10-05,Arlington Community Center,10
2022-10-05,Ammon Community Center,12
2022-10-05,Brookline Community Center,16
2022-10-05,Magee Community Center,17
2022-10-05,Ormsby Community Center,7
2022-10-05,Phillips Community Center,41
2022-10-05,Paulson Community Center,11
2022-10-05,West Penn Community Center,44
2022-10-04,Warrington Community Center,40
2022-10-04,Ammon Community Center,44
2022-10-04,Brookline Community Center,14
2022-10-04,Ormsby Community Center,5
2022-10-04,Magee Community Center,27
2022-10-04,Paulson Community Center,14
2022-10-04,Phillips Community Center,48
2022-10-04,West Penn Community Center,77
2022-10-03,Warrington Community Center,44
2022-10-03,Ammon Community Center,76
2022-10-03,Arlington Community Center,19
2022-10-03,Brookline Community Center,25
2022-10-03,Jefferson Community Center,39
2022-10-03,Magee Community Center,23
2022-10-03,Ormsby Community Center,9
2022-10-03,Phillips Community Center,49
2022-10-03,Paulson Community Center,16
2022-10-03,West Penn Community Center,40
2022-10-01,Brookline Community Center,1
2022-10-01,Phillips Community Center,1
2022-10-01,West Penn Community Center,28
2022-09-30,Warrington Community Center,24
2022-09-30,Arlington Community Center,20
2022-09-30,Ammon Community Center,11
2022-09-30,Brookline Community Center,16
2022-09-30,Jefferson Community Center,12
2022-09-30,Ormsby Community Center,10
2022-09-30,Magee Community Center,40
2022-09-30,Phillips Community Center,48
2022-09-30,Paulson Community Center,21
2022-09-30,West Penn Community Center,27
2022-09-29,Warrington Community Center,36
2022-09-29,Ammon Community Center,11
2022-09-29,Arlington Community Center,11
2022-09-29,Brookline Community Center,42
2022-09-29,Magee Community Center,36
2022-09-29,Ormsby Community Center,31
2022-09-29,Paulson Community Center,21
2022-09-29,Phillips Community Center,35
2022-09-29,West Penn Community Center,106
2022-09-28,Warrington Community Center,41
2022-09-28,Arlington Community Center,4
2022-09-28,Ammon Community Center,30
2022-09-28,Brookline Community Center,11
2022-09-28,Jefferson Community Center,17
2022-09-28,Ormsby Community Center,14
2022-09-28,Magee Community Center,18
2022-09-28,Phillips Community Center,30
2022-09-28,Paulson Community Center,8
2022-09-28,West Penn Community Center,41
2022-09-27,Warrington Community Center,38
2022-09-27,Ammon Community Center,8
2022-09-27,Arlington Community Center,8
2022-09-27,Brookline Community Center,22
2022-09-27,Magee Community Center,18
2022-09-27,Ormsby Community Center,16
2022-09-27,Paulson Community Center,12
2022-09-27,Phillips Community Center,63
2022-09-27,West Penn Community Center,104
2022-09-26,Warrington Community Center,37
2022-09-26,Arlington Community Center,13
2022-09-26,Ammon Community Center,24
2022-09-26,Brookline Community Center,23
2022-09-26,Jefferson Community Center,14
2022-09-26,Ormsby Community Center,14
2022-09-26,Magee Community Center,10
2022-09-26,Phillips Community Center,27
2022-09-26,Paulson Community Center,8
2022-09-26,West Penn Community Center,40
2022-09-24,Phillips Community Center,13
2022-09-24,West Penn Community Center,12
2022-09-23,Warrington Community Center,37
2022-09-23,Ammon Community Center,14
2022-09-23,Arlington Community Center,3
2022-09-23,Brookline Community Center,13
2022-09-23,Magee Community Center,39
2022-09-23,Ormsby Community Center,19
2022-09-23,Phillips Community Center,19
2022-09-23,Paulson Community Center,11
2022-09-23,West Penn Community Center,13
2022-09-22,Warrington Community Center,37
2022-09-22,Arlington Community Center,11
2022-09-22,Ammon Community Center,6
2022-09-22,Brookline Community Center,24
2022-09-22,Jefferson Community Center,9
2022-09-22,Ormsby Community Center,7
2022-09-22,Magee Community Center,32
2022-09-22,Paulson Community Center,16
2022-09-22,Phillips Community Center,7
2022-09-22,West Penn Community Center,116
2022-09-21,Warrington Community Center,47
2022-09-21,Ammon Community Center,9
2022-09-21,Brookline Community Center,12
2022-09-21,Magee Community Center,32
2022-09-21,Ormsby Community Center,5
2022-09-21,Phillips Community Center,19
2022-09-21,Paulson Community Center,15
2022-09-21,West Penn Community Center,35
2022-09-20,Warrington Community Center,43
2022-09-20,Ammon Community Center,40
2022-09-20,Arlington Community Center,3
2022-09-20,Brookline Community Center,16
2022-09-20,Ormsby Community Center,8
2022-09-20,Magee Community Center,30
2022-09-20,Paulson Community Center,12
2022-09-20,Phillips Community Center,68
2022-09-20,West Penn Community Center,108
2022-09-19,Warrington Community Center,31
2022-09-19,Arlington Community Center,3
2022-09-19,Ammon Community Center,9
2022-09-19,Brookline Community Center,15
2022-09-19,Magee Community Center,21
2022-09-19,Ormsby Community Center,8
2022-09-19,Phillips Community Center,38
2022-09-19,Paulson Community Center,17
2022-09-19,West Penn Community Center,52
2022-09-17,Phillips Community Center,4
2022-09-17,West Penn Community Center,11
2022-09-16,Warrington Community Center,45
2022-09-16,Ammon Community Center,11
2022-09-16,Arlington Community Center,1
2022-09-16,Brookline Community Center,17
2022-09-16,Ormsby Community Center,10
2022-09-16,Magee Community Center,21
2022-09-16,Phillips Community Center,31
2022-09-16,Paulson Community Center,17
2022-09-16,West Penn Community Center,42
2022-09-15,Warrington Community Center,26
2022-09-15,Arlington Community Center,3
2022-09-15,Ammon Community Center,21
2022-09-15,Brookline Community Center,27
2022-09-15,Magee Community Center,41
2022-09-15,Ormsby Community Center,6
2022-09-15,Paulson Community Center,12
2022-09-15,Phillips Community Center,46
2022-09-15,West Penn Community Center,59
2022-09-14,Warrington Community Center,41
2022-09-14,Ammon Community Center,76
2022-09-14,Arlington Community Center,10
2022-09-14,Brookline Community Center,12
2022-09-14,Ormsby Community Center,11
2022-09-14,Magee Community Center,17
2022-09-14,Phillips Community Center,21
2022-09-14,Paulson Community Center,18
2022-09-14,West Penn Community Center,39
2022-09-13,Warrington Community Center,33
2022-09-13,Ammon Community Center,58
2022-09-13,Brookline Community Center,19
2022-09-13,Magee Community Center,45
2022-09-13,Ormsby Community Center,7
2022-09-13,Paulson Community Center,8
2022-09-13,Phillips Community Center,45
2022-09-13,West Penn Community Center,37
2022-09-12,Warrington Community Center,47
2022-09-12,Ammon Community Center,42
2022-09-12,Brookline Community Center,12
2022-09-12,Ormsby Community Center,11
2022-09-12,Magee Community Center,33
2022-09-12,Phillips Community Center,55
2022-09-12,Paulson Community Center,9
2022-09-12,West Penn Community Center,51
2022-09-10,Brookline Community Center,5
2022-09-10,Phillips Community Center,1
2022-09-10,West Penn Community Center,29
2022-09-09,Warrington Community Center,28
2022-09-09,Ammon Community Center,25
2022-09-09,Brookline Community Center,14
2022-09-09,Magee Community Center,31
2022-09-09,Ormsby Community Center,6
2022-09-09,Phillips Community Center,25
2022-09-09,Paulson Community Center,14
2022-09-09,West Penn Community Center,31
2022-09-08,Warrington Community Center,35
2022-09-08,Ammon Community Center,29
2022-09-08,Arlington Community Center,2
2022-09-08,Brookline Community Center,26
2022-09-08,Ormsby Community Center,9
2022-09-08,Magee Community Center,38
2022-09-08,Paulson Community Center,13
2022-09-08,Phillips Community Center,56
2022-09-08,West Penn Community Center,41
2022-09-07,Warrington Community Center,23
2022-09-07,Arlington Community Center,4
2022-09-07,Ammon Community Center,11
2022-09-07,Brookline Community Center,10
2022-09-07,Magee Community Center,32
2022-09-07,Ormsby Community Center,8
2022-09-07,Phillips Community Center,53
2022-09-07,Paulson Community Center,19
2022-09-07,West Penn Community Center,24
2022-09-06,Warrington Community Center,26
2022-09-06,Ammon Community Center,13
2022-09-06,Brookline Community Center,14
2022-09-06,Ormsby Community Center,7
2022-09-06,Magee Community Center,20
2022-09-06,Paulson Community Center,17
2022-09-06,Phillips Community Center,38
2022-09-06,West Penn Community Center,58
2022-09-02,Warrington Community Center,18
2022-09-02,Ammon Community Center,21
2022-09-02,Brookline Community Center,12
2022-09-02,Magee Community Center,38
2022-09-02,Phillips Community Center,19
2022-09-02,Paulson Community Center,9
2022-09-02,West Penn Community Center,15
2022-09-01,Warrington Community Center,15
2022-09-01,Ammon Community Center,16
2022-09-01,Brookline Community Center,30
2022-09-01,Magee Community Center,39
2022-09-01,Ormsby Community Center,3
2022-09-01,Paulson Community Center,11
2022-09-01,Phillips Community Center,36
2022-09-01,West Penn Community Center,52
2022-08-31,Warrington Community Center,26
2022-08-31,Ammon Community Center,20
2022-08-31,Brookline Community Center,19
2022-08-31,Ormsby Community Center,12
2022-08-31,Magee Community Center,36
2022-08-31,Phillips Community Center,52
2022-08-31,Paulson Community Center,16
2022-08-31,West Penn Community Center,25
2022-08-30,Warrington Community Center,28
2022-08-30,Ammon Community Center,21
2022-08-30,Brookline Community Center,20
2022-08-30,Magee Community Center,31
2022-08-30,Ormsby Community Center,4
2022-08-30,Paulson Community Center,19
2022-08-30,Phillips Community Center,60
2022-08-30,West Penn Community Center,46
2022-08-29,Warrington Community Center,21
2022-08-29,Ammon Community Center,31
2022-08-29,Brookline Community Center,15
2022-08-29,Ormsby Community Center,7
2022-08-29,Magee Community Center,31
2022-08-29,Phillips Community Center,38
2022-08-29,Paulson Community Center,15
2022-08-29,West Penn Community Center,29
2022-08-27,Phillips Community Center,1
2022-08-27,West Penn Community Center,8
2022-08-26,Warrington Community Center,10
2022-08-26,Ammon Community Center,3
2022-08-26,Brookline Community Center,12
2022-08-26,Magee Community Center,8
2022-08-26,Ormsby Community Center,10
2022-08-26,Phillips Community Center,7
